timestamp,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2025-12-02 13:00:00+02:00,10.517328,1651.44267,310.55875,74.225,0.0,224.35776,9.54068,1575.5256,1717.628193,3.185,0.697573
2025-12-02 14:00:00+02:00,10.67632,1692.98623,309.413,74.5261,0.0,225.33291,11.56818,1586.6064,1206.217966,3.49,1.922629
2025-12-02 15:00:00+02:00,11.998912,1799.72114,306.7695,74.7746,0.0,285.38433,72.49276,1597.824,542.56056,3.369,12.497958
2025-12-02 16:00:00+02:00,13.193568,1856.63975,308.66325,74.4591,0.0,300.57687,330.33033,1607.2632,281.932854,3.49,18.122326
2025-12-02 17:00:00+02:00,13.024448,1859.15703,303.916,74.875,96.03,319.39182,654.07714,1614.6504,502.256581,2.855,58.641105
2025-12-02 18:00:00+02:00,13.32048,1857.35275,309.946,74.694,129.69,319.02849,833.43742,1625.0472,480.078353,2.49,58.552767
2025-12-02 19:00:00+02:00,13.624528,1861.01492,311.50875,74.5961,128.7,317.60784,860.19026,1638.5904,235.114842,2.334,55.356622
2025-12-02 20:00:00+02:00,13.664144,1849.4932,312.25125,74.4597,97.02,311.63517,741.07539,1646.5248,102.991531,2.409,16.046226
2025-12-02 21:00:00+02:00,11.75008,1780.19764,312.1515,74.8913,0.0,280.72737,489.44305,1660.2048,31.48095,2.535,18.581389
2025-12-02 22:00:00+02:00,11.74176,1694.60715,311.71375,74.5761,0.0,227.64852,335.86632,1671.4224,1.484762,2.439,22.134132
2025-12-02 23:00:00+02:00,11.408208,1711.67896,311.38925,74.6513,0.0,217.9584,68.60038,1682.9136,1.143558,2.362,27.381301
2025-12-03 00:00:00+02:00,13.510288,1519.5683,308.481305,74.5392,0.0,220.016867,8.78063,1686.4704,0.067052,2.158,30.241094
2025-12-03 01:00:00+02:00,12.689536,1403.39531,309.20013,74.2654,0.0,217.06437,8.73407,1689.0696,0.185407,2.161,33.012163
2025-12-03 02:00:00+02:00,12.958464,1400.86971,309.085965,74.4231,0.0,210.369663,8.73008,1693.9944,0.086486,2.16,43.329884
2025-12-03 03:00:00+02:00,12.95568,1402.02982,308.66296,74.4151,0.0,209.851299,8.77164,1707.4008,0.086991,2.531,45.196153
2025-12-03 04:00:00+02:00,12.572944,1401.88797,309.183045,74.2303,0.0,209.425005,8.77161,1713.1464,0.036204,2.634,45.186461
2025-12-03 05:00:00+02:00,12.596544,1404.27824,309.454875,68.2194,0.0,211.877156,8.72308,1713.2832,0.574328,2.74,63.111708
2025-12-03 06:00:00+02:00,13.330432,1458.67608,311.564675,68.4506,0.0,211.715648,10.40879,1715.6088,2.99965,2.744,83.522726
