created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2026-02-18 19:34:59+02:00,0,BG,Unplanned outage,A03,,2026-02-20 08:00:00+02:00,Z3XPK9np4dAqajip6FuJrw,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G1,1,MAW,PT1M,1,2026-02-18 19:08:00+02:00
2026-02-20 20:36:41+02:00,77.88,BG,Planned maintenance,A03,,2026-02-20 20:45:00+02:00,zwQHzVTMJKB5MstePUAmCA,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G3,1,MAW,PT1M,3,2026-02-18 11:05:00+02:00
2026-02-21 15:32:29+02:00,0,BG,Unplanned outage,A03,,2026-02-23 16:00:00+02:00,Hs_upAt-iWYltdB3GAvMaw,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP2,1,MAW,PT1M,1,2026-02-23 08:00:00+02:00
2026-02-21 15:46:13+02:00,0,BG,Unplanned outage,A03,,2026-02-24 16:00:00+02:00,p1lozKNhUMH0iqOD78K2Uw,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP2,1,MAW,PT1M,1,2026-02-24 08:00:00+02:00
2026-02-21 16:00:49+02:00,0,BG,Unplanned outage,A03,,2026-02-25 16:00:00+02:00,Hj4OuBgT9JoPXv9AnxWqqw,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP2,1,MAW,PT1M,1,2026-02-25 08:00:00+02:00
2026-02-21 21:01:05+02:00,0,BG,Unplanned outage,A03,,2026-02-25 12:00:00+02:00,VzFIw1DXAtpvXyq9loCU1A,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G3,1,MAW,PT1M,2,2026-02-20 00:56:00+02:00
2026-02-26 17:07:33+02:00,227,BG,Planned maintenance,A03,,2026-02-26 17:00:00+02:00,ihRx7qHqXnwMNutjy_ZvzQ,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G6,1,MAW,PT1M,2,2026-02-03 21:14:00+02:00
2026-02-26 23:22:38+02:00,0,BG,Planned maintenance,A03,,2026-02-28 23:13:00+02:00,x9Xnsn_nGoxcy1NNU7iQ9Q,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G5,1,MAW,PT1M,1,2026-02-26 23:13:00+02:00
2026-02-27 21:36:42+02:00,0,BG,Planned maintenance,A03,,2026-03-01 23:59:00+02:00,njwlUAE9JhfcbWxoDWQ4dw,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G4,1,MAW,PT1M,3,2026-02-16 21:00:00+02:00
2026-02-27 23:06:41+02:00,0,BG,Planned maintenance,A03,,2026-03-01 23:59:00+02:00,F7WDnTl9RuAqS3j-K32siQ,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G3,1,MAW,PT1M,2,2026-02-20 22:00:00+02:00
