delivery_date,Product,Weighted Average Price (EUR/MWh),Max Price (EUR/MWh),Min Price (EUR/MWh),Last Price (EUR/MWh),Volume (MW)
2026-03-12,QH-260312-01,11894,14915,11356,11540,8560
2026-03-12,QH-260312-02,12417,14770,10974,12898,5890
2026-03-12,QH-260312-03,12165,14581,11047,12178,7460
2026-03-12,QH-260312-04,11395,13868,10647,11285,11080
2026-03-12,QH-260312-05,11967,12758,10789,11382,7150
2026-03-12,QH-260312-06,11219,12277,10179,10599,15190
2026-03-12,QH-260312-07,11052,12370,9163,10409,21600
2026-03-12,QH-260312-08,10970,12567,9900,11421,19170
2026-03-12,QH-260312-09,11663,12942,10000,11190,12910
2026-03-12,QH-260312-10,10934,12308,8724,9826,7830
2026-03-12,QH-260312-11,11345,12132,10137,11000,9870
2026-03-12,QH-260312-12,11156,12247,9992,11034,11880
2026-03-12,QH-260312-13,11197,12692,8894,9802,8540
2026-03-12,QH-260312-14,11118,12121,7701,10735,9860
2026-03-12,QH-260312-15,11428,12364,6626,11602,9640
2026-03-12,QH-260312-16,11374,12489,10405,12485,14610
2026-03-12,QH-260312-17,10657,11959,9199,10164,21960
2026-03-12,QH-260312-18,10974,12461,9799,10551,21170
2026-03-12,QH-260312-19,11828,12985,10516,11750,10340
2026-03-12,QH-260312-20,12712,15761,11100,14999,14060
2026-03-12,QH-260312-21,12705,14236,11206,14208,37590
2026-03-12,QH-260312-22,14022,20166,12000,17988,37760
2026-03-12,QH-260312-23,14497,20874,12577,14600,45050
2026-03-12,QH-260312-24,19944,41180,14604,30309,40030
2026-03-12,QH-260312-25,16244,20219,10523,16079,23640
2026-03-12,QH-260312-26,17606,25709,14852,25700,17540
2026-03-12,QH-260312-27,12840,17330,4114,8000,21120
2026-03-12,QH-260312-28,11763,16274,7524,13000,41810
2026-03-12,QH-260312-29,16977,25874,11056,25874,19290
2026-03-12,QH-260312-30,14876,20874,12490,14574,13630
2026-03-12,QH-260312-31,14485,17704,12715,16211,60790
2026-03-12,QH-260312-32,12442,15700,10672,14000,55790
2026-03-12,QH-260312-33,14733,18508,9218,17400,38110
2026-03-12,QH-260312-34,13028,15370,9460,15370,41040
2026-03-12,QH-260312-35,12860,16287,8133,16287,45300
2026-03-12,QH-260312-36,7961,13931,402,11286,72650
2026-03-12,QH-260312-37,16060,28943,10250,23289,52440
2026-03-12,QH-260312-38,12005,20447,4260,9610,45370
2026-03-12,QH-260312-39,8230,22000,5,17000,43570
2026-03-12,QH-260312-40,6487,20000,505,12100,78710
2026-03-12,QH-260312-41,10611,22154,1751,22154,51330
2026-03-12,QH-260312-42,7935,30400,824,12500,50610
2026-03-12,QH-260312-43,6908,20874,382,12800,38960
2026-03-12,QH-260312-44,3566,12346,551,7200,89230
2026-03-12,QH-260312-45,4287,13953,328,6800,43850
2026-03-12,QH-260312-46,3751,9894,3,6664,52300
2026-03-12,QH-260312-47,3707,13063,40,6757,45500
2026-03-12,QH-260312-48,4039,9045,-182,7843,62140
2026-03-12,QH-260312-49,4036,8248,19,4966,48420
2026-03-12,QH-260312-50,3733,12749,146,3154,45400
2026-03-12,QH-260312-51,3584,19501,-109,1860,46420
2026-03-12,QH-260312-52,2912,9424,298,1949,43960
2026-03-12,QH-260312-53,3101,7579,-239,3929,48980
2026-03-12,QH-260312-54,3713,7356,551,4206,60080
2026-03-12,QH-260312-55,4023,7993,144,4323,62750
2026-03-12,QH-260312-56,4391,7357,745,2000,66160
2026-03-12,QH-260312-57,3239,7253,11,100,72560
2026-03-12,QH-260312-58,3103,8738,-700,-300,71360
2026-03-12,QH-260312-59,3271,8317,-400,100,66600
