delivery_date,Product,Weighted Average Price (EUR/MWh),Max Price (EUR/MWh),Min Price (EUR/MWh),Last Price (EUR/MWh),Volume (MW)
2026-03-12,QH-260312-60,8292,12275,0,350,78550
2026-03-12,QH-260312-61,3223,7402,-250,1431,70240
2026-03-12,QH-260312-62,7718,12205,-350,500,44110
2026-03-12,QH-260312-63,10505,13933,4300,10000,41160
2026-03-12,QH-260312-64,11702,15129,7941,12114,49390
2026-03-12,QH-260312-65,7220,9621,2142,5825,53120
2026-03-12,QH-260312-66,10039,14136,1022,8000,36920
2026-03-12,QH-260312-67,14446,19319,0,4047,32950
2026-03-12,QH-260312-68,20909,25413,15987,18034,54640
2026-03-12,QH-260312-69,18349,23556,8572,13999,31810
2026-03-12,QH-260312-70,19388,25000,12099,16998,33860
2026-03-12,QH-260312-71,20841,27079,13965,19276,38300
2026-03-12,QH-260312-72,23876,29068,17843,19838,30180
2026-03-12,QH-260312-73,19269,24744,14849,20900,43320
2026-03-12,QH-260312-74,20331,25874,16543,20001,26570
2026-03-12,QH-260312-75,22102,30873,18496,21901,27400
2026-03-12,QH-260312-76,22204,26281,18930,21101,27990
2026-03-12,QH-260312-77,21090,25500,18760,22501,25210
2026-03-12,QH-260312-78,20810,25873,18540,22109,28680
2026-03-12,QH-260312-79,21093,26279,18053,25000,35250
2026-03-12,QH-260312-80,23746,30164,8521,30164,40580
2026-03-12,QH-260312-81,22609,29377,18688,27068,28620
2026-03-12,QH-260312-82,22605,32602,18209,31997,28430
2026-03-12,QH-260312-83,22856,31538,18015,25258,30160
2026-03-12,QH-260312-84,22231,26164,18039,22700,32500
2026-03-12,QH-260312-85,23480,30879,18899,23101,54870
2026-03-12,QH-260312-86,23771,28944,19678,24361,47510
2026-03-12,QH-260312-87,23473,30033,18386,25510,42450
2026-03-12,QH-260312-88,17298,25874,11494,23787,32730
2026-03-12,QH-260312-89,21097,33000,12145,30006,25760
2026-03-12,QH-260312-90,21499,41178,12879,28900,28460
2026-03-12,QH-260312-91,18205,32900,12246,30490,22370
2026-03-12,QH-260312-92,16199,29850,11246,26287,28310
2026-03-12,QH-260312-93,17114,25874,14001,22900,14090
2026-03-12,QH-260312-94,15260,25400,11314,21101,14690
2026-03-12,QH-260312-95,12934,20372,11000,16000,18420
2026-03-12,QH-260312-96,10855,15732,5833,9598,29270
2026-03-13,QH-260313-01,12793,14100,11436,12290,15000
2026-03-13,QH-260313-02,12273,14899,9948,10400,13510
2026-03-13,QH-260313-03,10838,12011,9329,11902,12690
2026-03-13,QH-260313-04,10554,12498,9475,12301,12570
2026-03-13,QH-260313-05,10614,12100,7954,11179,8640
2026-03-13,QH-260313-06,9957,10734,8604,10001,8940
2026-03-13,QH-260313-07,9925,10699,7953,9976,9630
2026-03-13,QH-260313-08,9901,11222,8915,10269,25590
2026-03-13,QH-260313-09,10078,11884,9205,10487,16750
2026-03-13,QH-260313-10,10282,12114,9258,10075,17470
2026-03-13,QH-260313-11,10104,11725,8929,11039,13020
2026-03-13,QH-260313-12,10438,11689,9141,11326,15690
2026-03-13,QH-260313-13,9671,10780,8249,9678,10930
2026-03-13,QH-260313-14,9995,12145,9068,12145,9680
2026-03-13,QH-260313-15,10129,11658,9002,10187,15600
2026-03-13,QH-260313-16,9818,11941,9147,10161,6970
2026-03-13,QH-260313-17,9957,11361,8534,11361,8010
2026-03-13,QH-260313-18,10140,11329,9200,9964,8990
2026-03-13,QH-260313-19,9892,11159,8520,10375,14880
2026-03-13,QH-260313-20,10549,12972,3114,11739,12900
2026-03-13,QH-260313-21,10424,12084,5100,11002,16380
2026-03-13,QH-260313-22,11066,12613,4173,10722,26930
2026-03-13,QH-260313-23,11411,14280,114,12224,39660
2026-03-13,QH-260313-24,12247,15573,7007,10999,52080
2026-03-13,QH-260313-25,12204,15802,2114,9890,46720
2026-03-13,QH-260313-26,12342,18797,525,10400,28530
2026-03-13,QH-260313-27,10617,16075,57,10678,36160
2026-03-13,QH-260313-28,9191,13913,57,10038,35250
2026-03-13,QH-260313-29,13261,16825,5210,13408,37980
2026-03-13,QH-260313-30,12413,16098,7952,10000,53060
2026-03-13,QH-260313-31,10509,16325,4963,5008,62930
2026-03-13,QH-260313-32,6000,9665,126,2752,57880
2026-03-13,QH-260313-33,11100,13619,6041,7283,111610
2026-03-13,QH-260313-34,7469,14147,1084,3528,66580
2026-03-13,QH-260313-35,4609,7590,495,5500,59140
2026-03-13,QH-260313-36,243,2000,-3415,507,117050
2026-03-13,QH-260313-37,1751,6328,123,370,52080
2026-03-13,QH-260313-38,1772,2815,502,2277,41560
2026-03-13,QH-260313-39,1376,2444,400,1600,46920
2026-03-13,QH-260313-40,850,1843,-239,801,41950
2026-03-13,QH-260313-41,1592,2820,252,1500,53330
2026-03-13,QH-260313-42,456,2000,-1700,-191,49080
2026-03-13,QH-260313-43,234,1090,-1699,-263,30110
2026-03-13,QH-260313-44,-87,1001,-1699,-399,54820
2026-03-13,QH-260313-45,-363,912,-3067,-869,55860
2026-03-13,QH-260313-46,195,2000,-1698,400,26990
2026-03-13,QH-260313-47,402,2000,-1699,1800,34040
2026-03-13,QH-260313-48,-142,1099,-1699,100,31800
2026-03-13,QH-260313-49,61,2000,-1698,141,48730
2026-03-13,QH-260313-50,-147,1501,-1944,-299,47980
2026-03-13,QH-260313-51,-331,1101,-1871,-1073,45380
2026-03-13,QH-260313-52,-437,1100,-1797,-1797,45840
2026-03-13,QH-260313-53,-260,1160,-1699,1160,45880
2026-03-13,QH-260313-54,396,5875,-838,2000,48960
2026-03-13,QH-260313-55,1375,6698,-443,1685,64680
2026-03-13,QH-260313-56,1638,6767,-1594,4105,86150
2026-03-13,QH-260313-57,355,5000,-1600,540,61880
2026-03-13,QH-260313-58,903,4840,-1415,500,51200
2026-03-13,QH-260313-59,1173,8969,-1530,0,68120
2026-03-13,QH-260313-60,854,5000,-757,100,41960
2026-03-13,QH-260313-61,-640,1399,-2700,-800,62640
2026-03-13,QH-260313-62,446,4059,-3441,-1200,57540
2026-03-13,QH-260313-63,6859,9634,4000,4900,64470
2026-03-13,QH-260313-64,11406,14332,6900,6901,83570
2026-03-13,QH-260313-65,3594,5999,-6498,-2,66810
2026-03-13,QH-260313-66,8489,11981,300,2573,51850
2026-03-13,QH-260313-67,13004,16667,8087,14010,56480
2026-03-13,QH-260313-68,14685,17588,55,12499,59320
2026-03-13,QH-260313-69,13081,15679,5101,9800,55650
2026-03-13,QH-260313-70,12377,16028,7700,13899,34640
2026-03-13,QH-260313-71,13070,17812,10024,10400,45490
2026-03-13,QH-260313-72,17329,23306,10000,15000,41040
2026-03-13,QH-260313-73,13416,17898,7700,7700,19330
2026-03-13,QH-260313-74,13513,16525,10600,10600,25780
2026-03-13,QH-260313-75,13803,20873,7700,11500,17410
2026-03-13,QH-260313-76,15155,20824,10000,15917,18220
2026-03-13,QH-260313-77,14476,17476,3114,5013,20800
2026-03-13,QH-260313-78,14143,16310,11445,16308,33760
2026-03-13,QH-260313-79,13827,16430,10400,12184,29420
2026-03-13,QH-260313-80,13342,15439,10203,14000,36100
2026-03-13,QH-260313-81,13787,16253,4114,13705,31690
2026-03-13,QH-260313-82,13826,15703,7938,12195,48650
2026-03-13,QH-260313-83,13305,15424,10600,12978,47540
2026-03-13,QH-260313-84,12325,13293,9936,12000,27310
2026-03-13,QH-260313-85,13492,15081,4168,14221,55680
2026-03-13,QH-260313-86,13003,13860,10940,13087,43450
2026-03-13,QH-260313-87,12078,13550,10161,12432,22090
2026-03-13,QH-260313-88,11318,12868,9005,11733,19500
2026-03-13,QH-260313-89,12841,13666,10400,10400,39360
2026-03-13,QH-260313-90,12446,13198,10611,12810,22490
2026-03-13,QH-260313-91,12278,12910,11658,12901,23350
2026-03-13,QH-260313-92,11813,12152,9900,12105,25960
2026-03-13,QH-260313-93,12676,13759,11952,12472,28640
2026-03-13,QH-260313-94,11560,12080,11058,11649,7750
2026-03-13,QH-260313-95,11395,11786,10919,11631,8920
2026-03-13,QH-260313-96,10580,10972,9854,10901,20990
2026-03-14,QH-260314-01,12818,14588,12410,13485,17850
2026-03-14,QH-260314-02,12391,14074,11105,12844,16640
2026-03-14,QH-260314-03,11032,12000,10666,11592,14530
2026-03-14,QH-260314-04,10531,11717,10276,11113,11300
2026-03-14,QH-260314-05,11780,12704,11490,12280,23150
2026-03-14,QH-260314-06,11267,12086,11124,11810,19970
2026-03-14,QH-260314-07,11078,11658,10655,11410,21610
2026-03-14,QH-260314-08,10681,11537,10321,11397,20010
2026-03-14,QH-260314-09,10917,12100,10703,10807,6430
2026-03-14,QH-260314-10,10768,11914,9559,10211,10530
2026-03-14,QH-260314-11,10386,12099,9388,9981,8120
2026-03-14,QH-260314-12,10223,10867,9256,9417,7040
2026-03-14,QH-260314-13,10409,11079,9503,10399,17220
2026-03-14,QH-260314-14,10788,11499,9540,11300,15880
2026-03-14,QH-260314-15,10697,11875,9426,10345,18930
2026-03-14,QH-260314-16,10780,11802,8997,9635,17150
2026-03-14,QH-260314-17,10661,11966,10020,10823,6140
2026-03-14,QH-260314-18,10773,11726,9773,11371,7220
2026-03-14,QH-260314-19,10936,11936,10333,11500,7810
2026-03-14,QH-260314-20,10971,12078,9925,10310,9490
2026-03-14,QH-260314-21,10585,11808,9737,10905,6300
2026-03-14,QH-260314-22,10801,12150,9951,11401,6170
2026-03-14,QH-260314-23,11009,11899,10105,10780,8510
2026-03-14,QH-260314-24,11568,12522,8970,11100,13640
2026-03-14,QH-260314-25,11470,12499,10201,12499,21280
2026-03-14,QH-260314-26,11744,12627,10260,12241,16110
2026-03-14,QH-260314-27,10582,12082,7053,9324,24090
2026-03-14,QH-260314-28,10383,11924,3114,3114,31250
2026-03-14,QH-260314-29,12536,14377,10701,13731,42810
2026-03-14,QH-260314-30,12017,13296,9884,11670,34560
2026-03-14,QH-260314-31,9544,11349,7400,11334,38680
2026-03-14,QH-260314-32,2019,5000,501,800,54900
2026-03-14,QH-260314-33,6273,11750,3374,11618,39870
2026-03-14,QH-260314-34,4088,9901,1070,8679,42100
2026-03-14,QH-260314-35,1755,3600,1,3600,58650
2026-03-14,QH-260314-36,1566,5097,-285,3044,66460
2026-03-14,QH-260314-37,3188,10479,246,10301,63200
2026-03-14,QH-260314-38,134,5758,-1595,5758,90280
2026-03-14,QH-260314-39,-309,4995,-2910,4000,151830
2026-03-14,QH-260314-40,-117,3648,-1887,1984,149580
2026-03-14,QH-260314-41,1373,6000,-1509,3001,70110
2026-03-14,QH-260314-42,768,3633,-2150,323,54850
2026-03-14,QH-260314-43,567,6499,-2378,1400,69810
2026-03-14,QH-260314-44,-140,2500,-2447,1300,67560
2026-03-14,QH-260314-45,-162,1511,-2000,26,27370
2026-03-14,QH-260314-46,-154,2000,-2000,66,28810
2026-03-14,QH-260314-47,-439,1324,-2092,-332,27750
2026-03-14,QH-260314-48,-642,1179,-2392,20,37340
2026-03-14,QH-260314-49,-617,1547,-2093,-111,31810
2026-03-14,QH-260314-50,-726,891,-2232,-581,35400
2026-03-14,QH-260314-51,-692,700,-2499,600,61590
2026-03-14,QH-260314-52,-507,2000,-2034,611,43600
2026-03-14,QH-260314-53,-1062,551,-2329,-500,57440
2026-03-14,QH-260314-54,-615,1686,-2000,581,43150
2026-03-14,QH-260314-55,-36,10000,-1975,2000,52390
2026-03-14,QH-260314-56,219,11796,-1873,1110,67440
2026-03-14,QH-260314-57,-383,1795,-2210,1481,81610
2026-03-14,QH-260314-58,129,3148,-2038,876,71200
2026-03-14,QH-260314-59,285,4185,-1999,1235,56830
2026-03-14,QH-260314-60,1084,7387,-1684,3003,67450
2026-03-14,QH-260314-61,98,2500,-1652,1500,106410
2026-03-14,QH-260314-62,1704,6728,102,2635,69200
2026-03-14,QH-260314-63,7507,12800,4352,12800,52070
2026-03-14,QH-260314-64,11266,13635,9900,12201,74000
2026-03-14,QH-260314-65,6907,12892,3537,8054,71470
2026-03-14,QH-260314-66,11299,13420,5536,11395,33050
2026-03-14,QH-260314-67,13206,14150,10848,13600,29270
2026-03-14,QH-260314-68,14541,17682,12610,14560,43350
2026-03-14,QH-260314-69,12638,14217,10700,12077,26960
2026-03-14,QH-260314-70,13873,15000,13208,13577,25370
2026-03-14,QH-260314-71,14703,15490,13458,15372,18460
2026-03-14,QH-260314-72,15634,16655,12054,15499,35300
2026-03-14,QH-260314-73,14398,15558,12384,15210,25510
2026-03-14,QH-260314-74,15313,19288,13857,16486,32780
2026-03-14,QH-260314-75,16599,18030,13986,17781,31590
2026-03-14,QH-260314-76,17094,18343,15000,15464,29600
2026-03-14,QH-260314-77,17641,18443,15861,17470,23300
2026-03-14,QH-260314-78,16443,17869,8312,16346,34710
2026-03-14,QH-260314-79,15772,17974,8488,15600,36450
2026-03-14,QH-260314-80,15165,16183,12933,15519,38790
2026-03-14,QH-260314-81,14550,17537,3114,14400,29640
2026-03-14,QH-260314-82,14118,16708,11483,14027,24250
2026-03-14,QH-260314-83,13626,15038,11054,11999,36230
2026-03-14,QH-260314-84,12931,14782,10400,10400,39690
2026-03-14,QH-260314-85,13777,14861,12424,14033,50600
2026-03-14,QH-260314-86,12998,14025,11699,13675,24620
2026-03-14,QH-260314-87,13129,14030,11741,13159,17250
2026-03-14,QH-260314-88,10784,13575,4114,5962,19190
2026-03-14,QH-260314-89,13355,14246,12380,13099,26790
2026-03-14,QH-260314-90,13255,14220,12082,13931,22450
2026-03-14,QH-260314-91,13569,14480,12490,14341,27190
2026-03-14,QH-260314-92,12790,13904,6679,13481,22980
2026-03-14,QH-260314-93,13625,14157,12961,13928,45370
2026-03-14,QH-260314-94,13418,14278,12650,13420,40470
2026-03-14,QH-260314-95,13110,13735,12537,13088,26030
2026-03-14,QH-260314-96,11882,12525,8400,11637,44230
2026-03-15,QH-260315-01,13933,16891,3963,15683,21660
2026-03-15,QH-260315-02,13357,15343,3912,15343,18520
2026-03-15,QH-260315-03,12085,14795,3912,12000,16930
2026-03-15,QH-260315-04,11453,12370,3912,10843,18890
2026-03-15,QH-260315-05,12625,13543,11767,12422,15810
2026-03-15,QH-260315-06,12681,13802,12151,12897,8000
2026-03-15,QH-260315-07,12544,14203,11510,11605,8110
2026-03-15,QH-260315-08,12040,14096,10265,12701,2490
2026-03-15,QH-260315-09,12885,13600,12148,13248,6120
2026-03-15,QH-260315-10,12688,13266,11970,12819,4720
2026-03-15,QH-260315-11,11977,13230,11400,12736,16400
2026-03-15,QH-260315-12,11876,12621,11300,11815,17120
2026-03-15,QH-260315-13,11835,12906,8697,11966,19140
2026-03-15,QH-260315-14,11845,12644,10310,11548,17010
2026-03-15,QH-260315-15,12096,12833,11485,12050,7510
2026-03-15,QH-260315-16,12065,13157,11501,11886,10750
2026-03-15,QH-260315-17,11809,13342,10718,11660,5190
2026-03-15,QH-260315-18,12026,13128,11288,11374,4690
2026-03-15,QH-260315-19,12086,13384,11530,11541,5940
2026-03-15,QH-260315-20,12264,13462,11382,11391,5680
2026-03-15,QH-260315-21,11648,12835,11173,11379,5390
2026-03-15,QH-260315-22,11703,12979,11368,11479,5520
2026-03-15,QH-260315-23,11753,13285,11276,11276,8240
2026-03-15,QH-260315-24,12236,13973,8778,11723,11420
2026-03-15,QH-260315-25,11536,13709,7000,10941,14620
2026-03-15,QH-260315-26,10167,12705,7000,11001,20810
2026-03-15,QH-260315-27,10386,11957,4116,10143,24860
2026-03-15,QH-260315-28,10481,12070,4114,9605,39250
2026-03-15,QH-260315-29,12139,13809,10957,10968,41570
2026-03-15,QH-260315-30,10665,11946,9948,10606,40940
2026-03-15,QH-260315-31,10070,11639,9100,10210,45030
2026-03-15,QH-260315-32,4545,9500,-2083,9500,51330
2026-03-15,QH-260315-33,7885,12652,3000,11826,31250
2026-03-15,QH-260315-34,5007,20801,617,5000,29260
2026-03-15,QH-260315-35,2045,10000,-1209,2569,43180
2026-03-15,QH-260315-36,1228,5986,-1159,800,46570
2026-03-15,QH-260315-37,3166,12100,0,8999,30200
2026-03-15,QH-260315-38,3099,8000,0,1200,38650
2026-03-15,QH-260315-39,1566,3999,0,1500,45010
2026-03-15,QH-260315-40,1654,6200,-152,3200,50720
2026-03-15,QH-260315-41,2334,20025,210,4500,40170
2026-03-15,QH-260315-42,2185,11891,31,1900,31980
2026-03-15,QH-260315-43,822,8001,-974,800,38450
2026-03-15,QH-260315-44,293,3900,-1599,502,49430
2026-03-15,QH-260315-45,753,4900,-1184,-200,23250
2026-03-15,QH-260315-46,-85,4900,-1995,1000,37470
2026-03-15,QH-260315-47,-268,2883,-1650,1066,44710
2026-03-15,QH-260315-48,-497,1414,-1820,-999,49050
2026-03-15,QH-260315-49,0,2500,-1194,-100,37060
2026-03-15,QH-260315-50,-361,1607,-1990,-1990,33140
2026-03-15,QH-260315-51,-749,2500,-1999,-1200,56900
2026-03-15,QH-260315-52,-756,2080,-6000,-2100,61010
2026-03-15,QH-260315-53,-785,1088,-3300,-2899,67050
2026-03-15,QH-260315-54,-663,1269,-4445,-1574,49280
2026-03-15,QH-260315-55,-540,2500,-2700,-928,58050
2026-03-15,QH-260315-56,-212,2925,-1999,-746,44810
2026-03-15,QH-260315-57,-497,1222,-4999,-1448,68170
2026-03-15,QH-260315-58,325,2257,-1680,-1456,33030
2026-03-15,QH-260315-59,780,3612,-4997,-1697,32460
2026-03-15,QH-260315-60,181,3333,-6489,-1499,30900
2026-03-15,QH-260315-61,-585,1900,-4899,-2879,77390
2026-03-15,QH-260315-62,1083,5297,-4218,0,47360
2026-03-15,QH-260315-63,6472,20000,2079,7904,40890
2026-03-15,QH-260315-64,8135,9743,-3621,9743,68310
2026-03-15,QH-260315-65,5026,10401,-504,5225,39260
2026-03-15,QH-260315-66,7389,11369,-1500,11369,48480
2026-03-15,QH-260315-67,10114,18109,4010,11400,50000
2026-03-15,QH-260315-68,11688,14075,9937,11689,51050
2026-03-15,QH-260315-69,9452,11493,7335,10000,48130
2026-03-15,QH-260315-70,11799,15437,10000,13094,38700
2026-03-15,QH-260315-71,13727,17454,11707,13036,41040
2026-03-15,QH-260315-72,14054,16604,4140,6200,32420
2026-03-15,QH-260315-73,14269,15532,4114,4114,24420
2026-03-15,QH-260315-74,13355,16682,4809,13499,32380
2026-03-15,QH-260315-75,13289,16877,10400,10400,35330
2026-03-15,QH-260315-76,13922,18496,10400,10400,34010
2026-03-15,QH-260315-77,13679,17787,8312,11000,18570
2026-03-15,QH-260315-78,13500,15894,10400,13103,20080
2026-03-15,QH-260315-79,12995,15665,10400,12455,18830
2026-03-15,QH-260315-80,13181,15138,10400,13761,22930
2026-03-15,QH-260315-81,13697,17129,4139,13855,33440
2026-03-15,QH-260315-82,15659,17398,5182,13890,54840
2026-03-15,QH-260315-83,14184,17876,11909,12290,57890
2026-03-15,QH-260315-84,13372,15804,9632,10979,46670
2026-03-15,QH-260315-85,14017,17788,10400,10400,80830
2026-03-15,QH-260315-86,12460,17872,4115,8500,41240
2026-03-15,QH-260315-87,11672,13638,6000,10000,54850
2026-03-15,QH-260315-88,10249,14455,4114,8000,44980
2026-03-15,QH-260315-89,13177,14961,4214,4300,70240
2026-03-15,QH-260315-90,12760,14419,11145,11511,55290
2026-03-15,QH-260315-91,10947,12690,7642,9887,33900
2026-03-15,QH-260315-92,9714,11561,7902,9715,28520
2026-03-15,QH-260315-93,12018,14308,114,623,36820
2026-03-15,QH-260315-94,9779,12255,3000,3000,32180
2026-03-15,QH-260315-95,8043,11121,376,3300,30290
2026-03-15,QH-260315-96,6991,10267,167,4000,40410
2026-03-16,QH-260316-01,6998,9889,4114,7460,9470
2026-03-16,QH-260316-02,5845,8775,4114,6018,20220
2026-03-16,QH-260316-03,5779,8156,4053,5445,23240
2026-03-16,QH-260316-04,5846,8368,4051,5993,20520
2026-03-16,QH-260316-05,6874,9073,4215,7499,20450
2026-03-16,QH-260316-06,6186,8401,4114,4777,21330
2026-03-16,QH-260316-07,6749,8411,4591,4591,19000
2026-03-16,QH-260316-08,6458,7896,4333,6831,22850
2026-03-16,QH-260316-09,7141,8760,4901,5970,15290
2026-03-16,QH-260316-10,7501,8894,4811,7841,14890
2026-03-16,QH-260316-11,7453,8393,5557,7885,16500
2026-03-16,QH-260316-12,7367,9208,6339,8007,26040
2026-03-16,QH-260316-13,7478,9227,4851,8036,20980
2026-03-16,QH-260316-14,7525,8491,6557,7812,23870
2026-03-16,QH-260316-15,6894,9085,4993,7169,26120
2026-03-16,QH-260316-16,7433,8456,6194,8410,26690
2026-03-16,QH-260316-17,7477,9408,6123,6353,21410
2026-03-16,QH-260316-18,8324,9040,6940,8240,31720
2026-03-16,QH-260316-19,8524,9851,7564,8301,20030
2026-03-16,QH-260316-20,9205,10600,6757,8504,24140
2026-03-16,QH-260316-21,8867,10534,7902,9203,29620
2026-03-16,QH-260316-22,9643,12123,8188,9358,28630
2026-03-16,QH-260316-23,10530,14406,8600,8600,57490
2026-03-16,QH-260316-24,10615,15516,8616,9981,60820
2026-03-16,QH-260316-25,11980,13309,8000,12495,31160
2026-03-16,QH-260316-26,13234,15452,6905,12679,17880
2026-03-16,QH-260316-27,12087,16335,4114,4214,24090
2026-03-16,QH-260316-28,9247,15971,3114,4114,31270
2026-03-16,QH-260316-29,14773,16123,12252,13934,47670
2026-03-16,QH-260316-30,11850,16000,67,8898,42340
2026-03-16,QH-260316-31,5399,12400,53,7619,34950
2026-03-16,QH-260316-32,6074,11908,-2999,100,39620
2026-03-16,QH-260316-33,9082,13087,3999,5000,31540
2026-03-16,QH-260316-34,7627,11863,-1000,749,26130
2026-03-16,QH-260316-35,6060,11300,939,1000,22850
2026-03-16,QH-260316-36,4173,8352,-1415,100,30190
2026-03-16,QH-260316-37,7548,10108,1460,6700,42530
2026-03-16,QH-260316-38,6566,10938,-1000,4000,39780
2026-03-16,QH-260316-39,5268,9165,1228,5997,45960
2026-03-16,QH-260316-40,6185,10034,-100,2800,88750
2026-03-16,QH-260316-41,5574,8530,4174,4236,35250
2026-03-16,QH-260316-42,4403,8717,786,1168,40850
2026-03-16,QH-260316-43,4566,8770,100,1400,61160
2026-03-16,QH-260316-44,5102,8427,-700,700,91970
2026-03-16,QH-260316-45,5003,7915,203,1299,71950
2026-03-16,QH-260316-46,4331,7737,-2000,-2000,64650
2026-03-16,QH-260316-47,4388,7750,-600,0,72640
2026-03-16,QH-260316-48,4207,7454,-1459,4000,77320
2026-03-16,QH-260316-49,4305,8165,1310,3692,56970
2026-03-16,QH-260316-50,4491,7645,1745,7000,74460
2026-03-16,QH-260316-51,5085,11102,2414,4696,83540
2026-03-16,QH-260316-52,5253,7815,-585,100,97580
2026-03-16,QH-260316-53,4332,8638,-2000,-550,100510
2026-03-16,QH-260316-54,5206,8253,-950,1160,114680
2026-03-16,QH-260316-55,6172,10810,499,600,79330
2026-03-16,QH-260316-56,7962,10230,4205,6709,71480
2026-03-16,QH-260316-57,6198,9132,3025,4500,74010
2026-03-16,QH-260316-58,8624,12100,5691,11100,62720
2026-03-16,QH-260316-59,9136,13389,5314,11496,57930
2026-03-16,QH-260316-60,11372,13888,-1500,12528,51650
2026-03-16,QH-260316-61,8918,11938,4901,6500,81150
2026-03-16,QH-260316-62,10582,12774,7000,12738,45420
2026-03-16,QH-260316-63,12984,14592,11193,13499,35970
2026-03-16,QH-260316-64,13794,15175,11095,14387,60200
2026-03-16,QH-260316-65,11668,13651,5593,13143,64170
2026-03-16,QH-260316-66,14617,16271,12300,14565,41220
2026-03-16,QH-260316-67,17194,20228,14415,14953,39760
2026-03-16,QH-260316-68,18178,22737,14499,15924,64120
2026-03-16,QH-260316-69,13655,17892,10784,10999,43100
2026-03-16,QH-260316-70,16009,19200,8213,19200,21520
2026-03-16,QH-260316-71,16495,18504,10998,13076,27330
2026-03-16,QH-260316-72,18236,20874,14617,16602,30970
2026-03-16,QH-260316-73,17842,20873,10400,13420,30070
2026-03-16,QH-260316-74,18010,20862,10402,14795,28750
2026-03-16,QH-260316-75,18961,20718,11452,15674,26560
2026-03-16,QH-260316-76,19269,20800,16772,18652,20610
2026-03-16,QH-260316-77,18443,25874,15088,25874,32970
2026-03-16,QH-260316-78,19515,30874,15100,16600,27570
